	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-1_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-2_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-3_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-4_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-5_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-6_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-7_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-8_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-9_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Control_1_RunId0094_LaneId7.R1.fq.report
Bulleraceae	0	0	0	0	0	0	0	0	0	0
Scombridae	0	2	0	0	0	5	0	0	0	0
Diceratiidae	0	0	0	0	0	0	0	0	0	0
Acartiidae	0	0	0	0	0	5	0	0	0	0
Balanophoraceae	0	1	0	0	0	6	0	0	0	0
Tenthredinidae	7	16	3	6	0	65	1	0	0	0
Plexauridae	0	0	0	0	0	0	0	0	0	0
Cassiopeidae	0	0	0	0	0	0	0	0	0	0
Erpobdellidae	0	1	0	0	0	0	1	0	0	0
Ectobiidae	0	0	0	1	0	4	0	0	0	0
Tupaiidae	11	29	1	11	0	122	4	0	0	0
Platystictidae	0	0	0	0	0	1	0	0	0	0
Clubionidae	0	0	0	0	0	0	0	0	0	0
Ceratozetidae	0	0	0	0	0	0	0	0	0	0
Lasiosphaeriaceae	7	2	1	5	0	20	6	0	0	0
Monodontidae	2	12	2	4	0	33	2	0	0	1
Xylariaceae	0	0	0	1	0	5	2	0	0	0
Hyaloscyphaceae	0	0	0	0	0	4	0	0	0	0
Campanulaceae	0	2	0	0	0	12	1	0	0	0
Rhyparochromidae	0	0	0	0	0	0	0	0	0	0
Chaetocerotaceae	0	0	0	0	0	0	0	0	0	0
Orussidae	10	27	6	3	0	87	1	0	0	0
Nephtyidae	0	0	0	0	0	0	0	0	0	0
Planorbidae	17	60	1	10	0	189	2	0	0	0
Heteroceridae	0	0	0	0	0	1	1	0	0	0
Diogenidae	0	0	0	0	0	3	0	0	0	0
Teiidae	0	1	0	0	0	0	0	0	0	0
Debaryomycetaceae	40	126	3	54	0	610	25	0	0	1
Microbotryaceae	0	0	0	1	0	2	1	0	0	0
Glossinidae	0	0	0	1	0	1	0	0	0	0
Primulaceae	0	2	0	0	0	8	0	0	0	0
Colossendeidae	0	1	0	0	0	0	0	0	0	0
Lentibulariaceae	0	1	0	0	0	4	0	0	0	0
Ardeidae	1	0	0	0	0	6	0	0	0	0
Labrisomidae	0	0	0	0	0	1	0	0	0	0
Lucinidae	0	0	0	0	0	2	0	0	0	0
Amaurobiidae	0	0	0	0	0	1	0	0	0	0
Humiriaceae	0	0	0	0	0	0	0	0	0	0
Cervidae	1	8	0	8	0	51	1	0	0	0
Oplophoridae	0	1	0	0	0	0	0	0	0	0
Gonodactylidae	0	0	0	0	0	1	0	0	0	0
Agaraceae	0	0	0	0	0	0	0	0	0	0
Oxytrichidae	0	4	0	1	0	13	0	0	0	0
Santalaceae	1	0	0	0	0	0	0	0	0	0
Frankeniaceae	0	0	0	0	0	1	0	0	0	0
Aspergillaceae	72	51	11	187	0	558	69	0	4	0
Styloperlidae	0	0	0	0	0	0	0	0	0	0
Procellariidae	0	3	0	0	0	10	0	0	0	0
Pentatomidae	10	30	2	12	0	103	0	0	0	0
Pittidae	0	0	0	0	0	0	0	0	0	0
Marattiaceae	0	0	0	1	0	1	0	0	0	0
Dysderidae	0	0	0	0	0	2	0	0	0	0
Liviidae	0	0	0	0	0	0	0	0	0	0
Hippoboscidae	0	0	0	0	0	2	0	0	0	0
Mycosphaerellaceae	28	12	6	79	0	195	35	0	0	0
Hypsibiidae	0	1	0	1	0	2	0	0	0	0
Trombiculidae	0	1	0	1	0	0	0	0	0	0
Nyctaginaceae	0	1	0	0	0	1	0	0	0	0
Panagrolaimidae	0	0	0	1	0	1	6	0	0	0
Cronartiaceae	0	0	0	1	0	1	0	0	0	0
Chrysobalanaceae	0	0	0	0	0	1	0	0	0	0
Escalloniaceae	0	0	0	0	0	1	0	0	0	0
Strophariaceae	0	0	0	0	0	0	0	0	0	0
Procyonidae	0	0	0	0	0	1	0	0	0	0
Helophoridae	0	1	0	0	0	0	0	0	0	0
Dryopidae	0	1	0	0	0	4	0	0	0	0
Pamphagidae	0	0	0	0	0	1	0	0	0	0
Laelapidae	0	0	0	0	0	0	0	0	0	0
Bradynobaenidae	0	0	0	0	0	3	0	0	0	0
Labyrinthulaceae	0	1	0	0	0	0	0	0	0	0
Euryplacidae	0	0	0	0	0	0	0	0	0	0
Cucurbitariaceae	0	0	0	1	0	0	0	0	0	0
Ulmaceae	2	0	0	0	0	0	0	0	0	0
Goodeidae	0	0	0	0	0	0	0	0	0	0
Tipulidae	0	0	0	0	0	0	0	0	0	0
Accipitridae	3	13	2	6	0	39	2	0	0	0
Labridae	7	36	4	5	0	72	3	0	0	0
Candonidae	0	0	0	0	0	0	0	0	0	0
Gracilariaceae	1	4	0	3	0	5	0	0	0	0
Polystomatidae	170	563	17	136	0	1992	44	0	0	3
Prochaetodermatidae	0	0	0	0	0	0	0	0	0	0
Mrakiaceae	1	2	0	7	0	18	24	0	0	0
Epicopeiidae	0	0	0	0	0	0	0	0	0	0
Paguridae	0	0	0	0	0	0	0	0	0	0
Tenebrionidae	7	28	2	12	0	296	2	0	0	0
Oxalidaceae	0	0	0	0	0	1	0	0	0	0
Carangidae	5	29	4	14	0	121	7	0	0	0
Hexagrammidae	0	0	0	0	0	1	0	0	0	0
Chirodropidae	0	0	0	0	0	1	0	0	0	0
Agamidae	2	20	2	10	0	74	0	0	0	0
Pythiaceae	0	0	0	0	0	2	0	1	0	0
Scinaiaceae	0	0	0	0	0	0	0	0	0	0
Astasiaceae	0	0	0	0	0	0	0	0	0	0
Squamarinaceae	0	0	0	0	0	0	1	0	0	0
Fossombroniaceae	0	0	0	0	0	0	0	0	0	0
Batrachylidae	0	0	0	0	0	0	0	0	0	0
Crocodylidae	2	12	0	2	0	38	0	0	0	0
Caprimulgidae	0	1	1	5	0	7	0	0	0	0
Proteaceae	0	0	0	0	0	2	0	0	0	0
Phaeocystaceae	4	0	0	0	0	4	0	0	0	0
Tinamidae	4	10	0	2	0	24	0	0	0	0
Onygenaceae	3	1	0	3	0	12	2	0	0	0
Massarinaceae	0	0	0	0	0	0	0	0	0	0
Cortinariaceae	1	1	0	0	0	1	0	0	0	0
Chactidae	0	0	0	0	0	0	0	0	0	0
Phalangeridae	0	0	0	0	0	0	0	0	0	0
Chamaeleonidae	0	2	0	0	0	1	0	0	0	0
Micronectidae	1	0	0	0	0	0	0	0	0	0
Armadillidiidae	0	0	0	0	0	4	0	0	0	0
Milacidae	0	0	0	0	0	0	0	0	0	0
Nematocarcinidae	0	0	0	0	0	0	0	0	0	0
Sturnidae	6	8	1	8	0	54	0	0	0	0
Teloganodidae	0	1	0	0	0	0	0	0	0	0
Boridae	0	0	0	0	0	0	0	0	0	0
Culicidae	25	49	8	53	0	350	17	1	1	1
Equisetaceae	0	2	0	1	0	14	0	0	0	0
Phalacridae	0	0	0	0	0	1	0	0	0	0
Geophilidae	0	0	0	0	0	1	0	0	0	0
Schoepfiaceae	0	0	0	0	0	0	0	0	0	0
Bathycoccaceae	7	14	0	19	0	68	15	0	0	0
Lophiostomataceae	0	0	0	0	0	0	0	0	0	0
Dorididae	0	0	0	0	0	1	1	0	0	0
Surirellaceae	0	0	0	0	0	0	0	0	0	0
Hyacinthaceae	0	0	0	0	0	2	0	0	0	0
Squatinidae	0	1	0	0	0	0	0	0	0	0
Microsporaceae	0	0	0	0	0	0	0	0	0	0
Tetraphidaceae	1	2	0	0	0	0	0	0	0	0
Bomolochidae	0	0	0	0	0	0	0	0	0	0
Milichiidae	0	0	0	0	0	0	0	0	0	0
Stenopsychidae	0	0	0	0	0	1	0	0	0	0
Marasmiaceae	2	6	0	3	0	19	4	0	0	1
Philodinidae	0	0	0	0	0	5	1	0	0	0
Lycoperdaceae	0	0	0	0	0	1	0	0	0	0
Gasterosteidae	2	16	0	6	0	40	2	0	0	0
Neotylenchidae	2	0	0	0	0	1	0	0	0	0
Chordariaceae	0	0	0	0	0	0	0	0	0	0
Laqueidae	1	4	0	0	0	2	0	0	0	0
Karyolysidae	0	0	0	0	0	1	0	0	0	0
