	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/control_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D-5-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-6_RunId0091_LaneId1.R1.fq.report
Williamsiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscillatoriaceae	0	0	1	0	1	1	0	2	1	1	2	0	0	1	13	8	17	7	6	2	1	3	1	3	1	3	0	0	1	0	2	2	0	5	0	1
Thermomicrobiaceae	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	3	3	1	2	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Coxiellaceae	0	0	0	0	0	2	0	3	0	0	0	0	0	0	1	1	1	1	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	1	0	0
Atopobiaceae	0	0	2	6	2	2	3	3	1	3	3	0	2	1	12	28	21	9	3	2	2	19	4	3	2	0	1	2	0	0	1	0	0	3	1	0
Myxococcaceae	0	11	4	25	11	14	5	4	13	3	6	7	7	7	43	134	105	22	17	12	2	76	16	23	5	9	16	4	3	4	13	11	8	14	3	2
Neisseriaceae	0	11	4	3	3	6	9	8	7	3	1	1	2	7	23	48	37	17	14	10	7	32	12	10	5	6	9	3	4	4	12	1	0	10	2	1
Limnochordaceae	0	3	0	0	1	0	1	1	1	1	0	2	1	0	6	13	2	2	1	1	0	3	0	1	0	0	0	0	0	1	0	1	0	0	0	0
Fibrobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiritimatiellaceae	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	5	3	4	0	0	0	4	3	0	1	1	0	0	0	0	0	0	0	1	0	0
Sinobacteraceae	0	1	0	4	0	0	0	0	1	0	0	0	1	0	5	8	5	4	2	1	0	7	2	2	0	0	0	0	0	0	0	0	2	0	1	0
Staphylococcaceae	0	12	8	39	10	20	43	23	8	10	7	3	2	9	83	52	71	27	30	26	7	83	16	18	14	11	11	7	5	7	18	14	3	23	9	2
Salinivirgaceae	0	1	0	0	1	0	0	0	0	1	0	0	0	0	4	2	2	2	1	0	0	0	1	3	2	1	3	0	0	0	4	1	0	1	0	0
Desulfurellaceae	0	0	0	0	0	1	0	0	0	0	0	0	2	0	4	5	8	3	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0
Pectobacteriaceae	0	2	0	4	3	2	9	4	7	3	7	1	2	1	32	55	37	19	22	6	2	52	14	11	12	10	6	3	0	0	17	5	6	12	1	3
Acholeplasmataceae	0	0	0	2	1	1	0	0	1	0	1	0	0	0	10	3	4	4	2	2	0	1	3	4	1	2	3	0	1	2	4	1	0	0	0	0
Actinopolysporaceae	0	3	2	8	6	6	6	7	3	2	0	1	3	3	5	29	20	2	5	3	2	12	2	7	2	1	9	0	1	0	4	1	2	1	0	0
Herpetosiphonaceae	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	3	0	1	2	2	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0
Gemmatimonadaceae	0	3	1	10	17	9	2	5	7	2	2	2	9	5	18	51	44	16	12	4	2	40	4	4	3	2	6	4	0	0	4	2	5	5	1	1
Promicromonosporaceae	0	8	9	116	28	23	15	19	32	6	6	22	13	24	115	804	319	86	30	25	17	589	28	60	22	16	33	12	16	4	27	27	13	38	8	7
Gloeomargaritaceae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cytophagaceae	0	24	8	75	21	17	14	12	11	8	12	8	1	10	68	202	171	39	13	112	7	103	42	59	25	19	31	12	4	3	30	12	13	17	2	11
Geodermatophilaceae	0	10	7	178	29	43	13	15	16	12	5	10	14	21	53	227	167	51	23	28	18	141	16	25	11	15	29	11	11	7	22	11	11	18	7	6
Thermaceae	0	6	2	5	2	9	4	1	2	0	2	5	2	1	17	53	21	8	2	1	2	26	8	5	3	4	4	2	2	0	9	6	4	3	0	1
Ignavibacteriaceae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	3	0	0	0	0	4	4	1	0	1	0	0	0	0	0	0	0	2	0	0
Rhizobiaceae	5	80	18	203	78	157	116	83	104	44	77	20	37	37	860	2202	1600	738	78	312	23	1442	418	923	308	471	296	11	22	19	791	169	212	260	29	108
Bifidobacteriaceae	0	4	2	12	7	3	3	9	2	1	3	3	4	6	35	81	71	19	10	14	1	54	11	6	2	6	8	3	0	2	7	4	4	8	1	0
Kineosporiaceae	0	6	0	42	16	7	2	4	2	3	1	0	0	13	22	60	72	15	5	3	7	32	4	15	4	0	5	2	4	6	7	4	5	10	2	3
Candidatus Brocadiaceae	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	1	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Hafniaceae	0	3	2	1	3	4	3	1	2	1	1	0	2	5	14	16	12	5	3	4	0	14	4	5	6	2	2	1	1	0	2	8	2	1	4	1
Propionibacteriaceae	1	17	20	171	23	46	43	48	34	23	17	25	25	38	154	382	371	83	29	33	17	320	31	78	39	18	52	18	38	6	31	26	34	45	8	13
Thermoactinomycetaceae	0	1	0	1	2	0	1	1	0	0	2	0	0	0	3	0	2	3	1	4	0	3	2	0	0	0	1	0	0	1	0	2	1	1	0	0
Dermocarpellaceae	0	2	0	1	2	2	1	1	1	0	0	1	1	0	7	5	8	4	3	2	3	5	3	0	3	1	2	0	0	1	3	5	2	2	0	0
Syntrophobacteraceae	0	0	0	0	0	0	3	0	0	0	1	0	0	2	3	8	11	2	2	1	0	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0
Granulosicoccaceae	0	0	0	0	0	1	0	0	1	0	0	0	0	0	6	3	11	0	0	1	0	0	5	4	0	0	1	0	0	0	0	0	0	1	0	1
Dermacoccaceae	0	7	2	34	5	14	8	8	8	5	6	7	6	5	39	110	131	26	9	12	7	85	7	19	4	5	17	10	0	2	8	11	9	7	1	3
Aurantimonadaceae	1	12	4	36	13	10	7	6	15	5	9	3	8	7	36	301	165	25	10	16	2	171	17	27	9	12	20	6	4	3	23	12	10	9	3	8
Christensenellaceae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	4	0	1	0	0	2	3	2	2	1	1	0	0	0	0	1	0	0	0	0
Frankiaceae	0	21	9	62	32	40	18	24	25	7	8	15	17	18	71	334	230	63	25	21	19	198	24	41	18	21	47	25	17	6	29	21	9	28	9	2
Methylacidiphilaceae	0	0	0	2	0	0	1	0	1	0	0	0	0	0	4	0	4	1	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Rivulariaceae	0	4	1	4	2	3	8	1	4	2	3	1	4	1	56	50	50	23	7	18	3	11	10	6	10	12	7	7	4	5	9	5	2	5	3	4
Lactobacillaceae	0	8	8	10	9	9	5	13	6	7	11	2	6	4	101	62	76	31	20	20	3	19	17	13	15	8	7	4	8	0	4	16	8	15	4	4
Hydrogenothermaceae	0	0	0	0	0	0	1	0	0	0	1	0	0	0	8	4	8	6	3	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Phyllobacteriaceae	1	97	6	73	133	101	21	68	85	19	15	15	14	22	101	2371	1217	64	19	48	20	1218	49	62	47	37	89	7	8	13	69	14	26	26	8	15
Microbacteriaceae	5	61	22	1982	96	162	81	93	117	41	85	453	333	814	4250	4890	4964	2854	1333	875	70	1915	625	1046	478	463	517	74	94	34	1212	626	402	576	57	226
Peptococcaceae	1	5	2	6	6	3	4	7	6	0	3	11	2	1	32	21	31	16	4	13	3	15	10	13	8	9	8	4	3	3	9	11	2	9	1	4
Psychromonadaceae	0	0	0	1	0	0	1	0	0	1	1	0	0	0	11	4	1	1	0	1	0	4	4	0	0	3	1	0	0	0	5	0	0	0	0	1
Micromonosporaceae	0	55	52	295	108	193	113	89	62	37	39	63	81	100	294	1172	841	185	84	81	56	879	91	149	78	57	146	74	39	13	90	77	53	93	23	32
Leptospiraceae	0	4	0	6	5	1	0	1	0	0	2	3	1	0	26	12	14	5	11	4	0	5	3	4	1	5	1	2	0	1	6	0	1	1	0	2
Chlamydiaceae	0	7	11	4	2	6	11	7	3	4	3	7	4	1	12	9	14	8	8	9	10	4	9	1	5	0	11	4	6	5	5	2	2	5	5	2
Gloeobacteraceae	0	0	0	3	1	2	2	2	2	2	0	1	1	0	8	20	12	3	2	2	1	8	1	4	4	1	1	0	0	2	1	1	0	1	1	1
Lachnospiraceae	1	7	6	11	11	21	10	7	4	11	20	7	13	18	55	33	44	38	33	21	7	38	13	7	20	6	15	16	10	9	28	26	12	11	13	2
Coriobacteriaceae	0	0	0	0	0	0	4	2	1	0	0	0	0	1	9	11	13	8	3	2	1	5	1	0	2	3	1	0	0	0	2	2	0	3	0	2
Burkholderiaceae	80	92	35	332	118	293	167	88	210	101	144	185	132	76	736	1445	1113	374	208	166	52	1086	196	245	142	155	322	41	48	38	262	187	80	139	26	89
Brachyspiraceae	0	1	1	4	0	1	0	1	0	2	2	0	0	1	16	7	15	5	8	1	1	0	2	1	1	3	1	0	1	0	7	0	2	2	0	0
Eggerthellaceae	0	1	3	17	3	5	4	7	5	3	2	6	3	5	18	58	41	11	3	3	1	34	2	12	6	4	2	6	4	1	8	4	3	4	0	0
Simkaniaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacteriaceae	0	21	8	96	22	42	24	25	16	19	13	12	7	27	136	251	301	69	38	28	19	276	34	50	32	15	34	11	12	4	28	16	13	19	7	5
Segniliparaceae	0	1	1	4	0	1	1	1	1	2	1	0	2	1	8	9	4	4	0	2	1	10	0	2	1	1	2	0	0	0	3	1	0	2	0	0
Chromatiaceae	0	6	2	22	9	14	3	7	11	5	6	3	8	9	50	107	51	19	18	10	3	68	9	15	8	9	8	4	5	1	10	6	5	7	2	2
Roseiflexaceae	0	1	0	2	3	2	0	0	1	0	0	1	0	1	9	11	11	2	5	0	0	10	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Endomicrobiaceae	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	1	6	1	2	0	1	0	0	0	0	1	0	1	0	0	0
Anaeromyxobacteraceae	0	3	1	15	9	7	1	6	6	3	4	1	3	5	12	63	40	12	4	10	4	38	3	6	9	3	11	1	1	0	5	8	1	3	2	1
Parachlamydiaceae	0	0	2	2	3	7	0	1	1	0	0	0	1	0	14	4	7	7	1	4	1	2	0	2	0	1	2	1	2	0	4	0	2	0	0	0
Caldilineaceae	0	0	0	3	1	0	0	0	0	0	1	1	0	0	8	5	14	2	4	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Anaplasmataceae	0	0	1	1	1	0	1	3	1	0	0	1	0	0	16	6	9	8	4	5	0	4	4	4	5	1	2	1	0	1	1	1	1	3	0	2
Magnetococcaceae	0	1	0	0	0	0	0	0	0	0	1	0	0	0	7	2	3	0	3	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Streptosporangiaceae	0	17	10	76	20	41	23	17	24	17	9	19	23	18	64	307	248	62	19	18	22	254	26	41	19	17	41	14	13	2	22	12	20	19	8	2
Cellulomonadaceae	0	10	6	126	18	28	16	16	18	10	7	14	4	19	81	425	190	65	28	11	11	249	18	43	16	12	37	5	13	2	15	19	12	19	1	10
Kosmotogaceae	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	3	2	0	2	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0
Comamonadaceae	4	152	98	401	120	104	252	106	65	46	39	118	359	277	271	780	571	170	87	320	343	535	442	307	133	219	127	46	356	32	377	89	421	234	69	57
Ectothiorhodospiraceae	1	8	3	17	8	17	7	4	6	2	4	7	17	7	35	116	68	20	7	7	3	58	20	16	5	12	15	8	3	0	13	4	6	12	4	4
Sterolibacteriaceae	0	6	1	6	7	3	5	4	0	2	1	2	5	6	8	41	26	3	1	4	1	32	8	1	5	4	6	2	0	0	6	3	4	13	0	1
Jiangellaceae	0	13	4	62	11	27	15	13	15	9	7	6	18	17	75	239	186	48	15	20	11	160	23	27	11	8	24	15	13	6	13	18	10	16	2	3
Legionellaceae	0	1	0	3	3	4	0	6	1	2	1	1	1	0	81	42	53	26	23	20	1	12	2	7	9	2	8	1	3	5	1	0	3	5	1	1
Thermoanaerobacterales Family III. Incertae Sedis	0	4	3	5	3	4	3	6	7	8	4	2	2	3	17	17	12	6	7	3	0	7	5	6	2	4	10	2	4	2	8	0	0	7	1	3
Pseudonocardiaceae	5	570	476	1207	889	2366	1482	875	455	361	2036	3398	1402	3252	4965	8807	6427	1878	2057	1714	855	4328	620	1268	551	320	1621	1130	2380	674	937	312	705	674	300	176
Flavobacteriaceae	0	95	39	80	88	148	77	96	98	69	859	36	33	131	1472	1535	1931	1188	197	802	54	3013	3511	4388	1793	2077	1809	46	51	37	2448	1225	794	1076	44	754
Thermodesulfobacteriaceae	0	0	0	0	0	0	0	0	1	1	2	0	0	0	8	2	5	2	1	1	0	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0
Erwiniaceae	3	13	19	7	10	49	7	11	3	51	73	12	17	19	40	61	67	20	51	12	5	138	17	30	22	25	12	7	0	3	27	86	4	12	11	4
Rhodospirillaceae	0	28	10	126	50	42	12	26	34	10	10	8	15	25	96	482	309	66	26	25	18	328	25	70	32	31	48	8	8	5	47	22	24	29	10	18
Waddliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Shewanellaceae	0	18	5	8	11	7	5	7	4	13	5	0	3	7	65	38	56	21	21	11	4	26	12	22	9	20	18	4	8	3	13	6	4	8	4	6
Carnobacteriaceae	0	3	1	1	0	4	5	1	1	0	1	1	0	1	8	12	9	4	4	4	2	4	3	4	1	4	4	1	1	0	2	1	1	1	1	0
Colwelliaceae	0	1	2	2	0	1	2	1	2	4	1	2	1	1	18	8	16	12	3	5	1	6	2	3	1	4	4	1	0	0	0	3	0	5	1	0
Phycisphaeraceae	0	0	0	2	2	3	1	2	0	0	2	0	1	2	13	23	12	7	3	1	0	9	0	3	1	3	2	1	0	2	0	0	1	0	0	1
Gordoniaceae	0	12	5	55	23	43	33	21	19	7	10	13	8	18	67	261	195	31	12	21	17	179	21	32	17	11	41	20	11	8	16	18	16	15	9	2
Oxalobacteraceae	0	16	2	102	22	29	15	16	25	11	10	13	17	17	89	290	183	55	19	27	5	256	263	171	131	232	89	3	7	1	315	76	37	93	7	31
Ruminococcaceae	0	3	1	5	1	2	2	0	4	2	3	1	3	1	47	39	41	19	10	4	3	29	4	14	5	5	3	1	2	1	9	4	3	8	3	2
Bogoriellaceae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Budviciaceae	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Polyangiaceae	0	10	4	30	9	7	8	7	5	4	8	5	10	3	57	105	81	33	14	16	2	70	14	17	11	4	10	1	6	1	15	8	5	10	2	5
Chloroflexaceae	0	0	0	1	2	0	0	2	1	0	0	0	0	0	3	3	0	2	1	0	0	5	3	1	0	0	1	0	0	0	0	1	0	0	0	0
Cohaesibacteraceae	0	0	0	0	0	0	0	2	0	0	0	0	1	1	5	11	17	2	1	1	0	7	0	0	1	0	0	0	0	0	0	2	0	0	0	0
Aphanizomenonaceae	0	1	1	4	1	3	3	0	0	0	4	0	0	1	15	10	13	9	5	2	1	7	4	5	1	2	2	0	0	1	3	3	1	2	0	2
Halothiobacillaceae	0	0	0	2	2	4	0	0	0	1	0	0	1	3	3	6	6	1	0	4	0	5	2	3	4	5	3	1	0	0	7	2	2	1	0	0
Akkermansiaceae	0	0	0	1	1	1	0	1	1	0	0	0	0	0	6	7	4	0	1	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0
Verrucomicrobia subdivision 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Verrucomicrobiaceae	0	5	0	2	4	1	0	1	0	0	2	1	1	1	3	22	15	6	1	3	0	9	3	4	1	1	2	1	0	0	1	0	1	0	0	0
Syntrophomonadaceae	0	1	0	1	0	1	0	0	0	0	0	1	0	2	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Dermabacteraceae	0	3	6	34	7	17	10	7	8	3	8	10	7	19	55	164	140	50	17	12	3	143	15	25	9	14	27	3	7	0	17	20	8	10	3	2
Oleiphilaceae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	5	0	2	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Archangiaceae	0	10	2	25	10	21	3	8	6	3	3	4	5	2	26	84	87	19	7	11	3	57	15	9	6	7	11	7	2	0	15	8	3	6	2	4
Desulfohalobiaceae	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	1	0	0	0	2	1	3	0	1	0	0	0	0	0	0	0	0	0	0
Dermatophilaceae	0	0	0	0	0	1	1	0	1	0	0	0	0	1	2	4	1	1	0	0	0	3	0	0	1	0	2	1	0	0	0	0	1	0	0	0
