	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/control_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D-5-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-6_RunId0091_LaneId1.R1.fq.report
Ophiocordycipitaceae	0	3	1	4	2	2	11	3	4	1	11	10	1	4	65	20	41	30	15	11	1	13	6	3	1	3	0	4	3	1	1	6	3	6	2	3
Methylophilaceae	0	2	0	3	0	65	0	2	3	1	12	0	1	0	24	79	18	7	5	27	0	25	9	16	7	10	6	1	0	0	8	8	2	3	0	4
Peltigeraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Trichocomaceae	0	9	3	4	5	3	1	4	5	2	2	5	2	2	81	31	76	35	31	23	3	7	7	5	4	4	3	1	4	3	5	4	5	1	1	1
Azonexaceae	0	1	0	0	1	0	0	0	0	1	1	3	0	3	10	8	3	4	0	0	1	11	3	2	0	4	1	0	0	0	9	1	1	0	1	1
Olpidiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erythrobacteraceae	0	17	5	131	19	21	11	8	38	7	8	20	18	15	60	393	233	37	10	21	7	262	18	17	20	19	24	6	4	0	25	8	6	13	2	4
Sterolibacteriaceae	0	6	1	6	7	3	5	4	0	2	1	2	5	6	8	41	26	3	1	4	1	32	8	1	5	4	6	2	0	0	6	3	4	13	0	1
Zoogloeaceae	0	16	0	13	17	13	1	11	6	6	4	7	6	3	28	111	70	20	6	4	3	86	12	10	11	13	11	3	4	1	12	4	6	7	4	5
Shewanellaceae	0	18	5	8	11	7	5	7	4	13	5	0	3	7	65	38	56	21	21	11	4	26	12	22	9	20	18	4	8	3	13	6	4	8	4	6
Parmeliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Chromatiaceae	0	6	2	22	9	14	3	7	11	5	6	3	8	9	50	107	51	19	18	10	3	68	9	15	8	9	8	4	5	1	10	6	5	7	2	2
Bartonellaceae	0	3	1	4	2	2	1	1	0	0	2	1	0	1	22	15	16	14	2	6	1	5	1	4	2	2	2	1	4	1	3	4	2	2	0	3
Xylonomycetaceae	0	2	2	2	1	3	2	2	1	0	2	1	1	0	39	3	35	11	11	15	0	2	1	1	2	1	1	2	0	0	1	1	2	1	0	0
Pectobacteriaceae	0	2	0	4	3	2	9	4	7	3	7	1	2	1	32	55	37	19	22	6	2	52	14	11	12	10	6	3	0	0	17	5	6	12	1	3
Rhodocyclaceae	0	4	3	6	5	1	1	3	3	0	0	2	2	0	11	51	21	9	1	4	2	29	5	8	6	7	3	3	1	1	7	2	2	1	0	1
Hymenochaetaceae	0	3	0	1	3	1	1	1	2	0	0	3	1	0	15	6	11	1	9	3	0	0	2	2	0	2	3	0	1	0	2	1	0	1	0	1
Coriolaceae	0	1	1	5	5	4	3	2	4	1	2	0	2	2	35	19	41	10	12	15	1	22	6	4	3	1	2	4	0	0	4	3	4	3	0	2
Lentinaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pasteurellaceae	1	6	0	2	2	12	12	4	2	3	1	4	0	0	43	28	50	13	12	23	3	22	11	10	2	5	4	1	2	2	4	3	2	5	0	2
Bondarzewiaceae	0	2	1	0	0	1	0	1	2	0	0	0	0	2	15	3	14	7	3	4	0	4	1	1	0	0	0	0	0	0	3	0	1	0	1	0
Sporidiobolaceae	1	5	0	10	2	6	1	3	4	1	1	2	1	2	66	47	68	20	13	9	0	22	5	2	0	6	1	1	3	0	4	0	4	6	0	2
Melampsoraceae	0	0	2	0	0	0	1	1	2	2	2	0	2	1	12	3	8	1	3	5	0	2	1	3	0	3	0	1	0	0	2	1	0	4	0	0
Vuilleminiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wenzhouxiangellaceae	0	0	2	1	0	3	0	1	2	0	1	1	2	1	3	7	9	7	1	3	0	11	0	4	1	0	0	0	0	0	1	0	3	2	0	0
Pichiaceae	0	5	5	5	1	2	5	4	0	2	0	3	5	2	30	12	24	12	5	6	2	8	5	3	1	1	3	1	3	0	2	3	0	2	1	0
Hericiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nannocystaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Helotiaceae	0	4	2	2	0	1	1	0	0	1	1	2	0	1	17	6	13	13	6	4	1	2	7	4	1	1	1	1	0	1	0	2	0	3	0	0
Pluteaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olpidiopsidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylocystaceae	0	2	1	19	2	8	0	3	11	3	3	1	2	1	7	78	45	9	3	11	2	44	8	5	2	1	5	2	1	1	2	3	1	2	1	2
Yersiniaceae	1	13	8	18	13	26	25	12	9	13	7	11	11	16	110	90	100	49	26	29	5	85	36	48	28	29	30	13	5	7	58	22	16	20	7	18
Stereaceae	0	0	1	0	1	0	1	1	0	0	0	0	0	0	17	3	18	5	1	4	4	3	4	1	0	0	1	0	0	0	1	0	2	3	0	0
Ordosporidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	3	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Ceratocystidaceae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sporocadaceae	0	3	0	5	0	6	4	2	0	0	6	3	0	1	29	6	24	12	12	4	0	6	3	4	5	3	0	0	1	0	5	2	0	4	0	2
Ustilaginaceae	0	4	3	13	6	16	7	5	5	9	7	9	4	8	665	99	413	238	140	167	5	37	18	20	15	5	16	5	3	2	14	7	23	18	0	5
Coniochaetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Auriculariaceae	0	1	0	2	2	4	1	4	1	2	0	0	0	4	42	11	38	16	10	7	0	11	1	2	1	1	9	0	2	2	4	2	2	4	2	0
Hypocreaceae	0	7	4	8	14	11	21	6	2	4	13	16	8	11	130	66	96	53	50	43	5	26	9	14	2	2	8	10	4	0	13	6	5	10	1	2
Beijerinckiaceae	0	4	0	15	7	9	1	6	5	2	2	6	3	3	23	110	89	22	5	10	2	81	8	18	5	1	10	6	3	0	2	6	4	2	0	4
Moritellaceae	0	1	1	1	3	2	2	1	2	1	1	1	0	0	1	1	3	0	0	2	0	3	0	1	3	0	4	2	1	0	0	0	2	2	0	2
Choanephoraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rickettsiaceae	0	3	0	3	1	0	0	1	2	0	0	1	0	1	8	13	11	5	1	1	1	6	3	2	1	2	2	2	0	0	1	0	2	2	0	0
Glomerellaceae	0	12	5	16	6	10	18	6	6	3	17	18	5	14	137	48	112	64	25	35	7	53	12	19	4	7	12	4	4	4	6	8	7	11	2	7
Desulfovibrionaceae	0	14	2	28	14	12	6	7	6	4	4	4	6	5	48	79	75	23	11	13	4	65	13	19	20	9	15	0	10	4	20	5	7	13	2	5
Cunninghamellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomycetaceae	0	18	10	22	30	28	21	15	17	10	12	4	9	17	195	104	145	84	56	62	17	44	30	21	15	12	21	13	23	8	14	20	11	26	4	6
Rhodospirillaceae	0	28	10	126	50	42	12	26	34	10	10	8	15	25	96	482	309	66	26	25	18	328	25	70	32	31	48	8	8	5	47	22	24	29	10	18
Bionectriaceae	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	1	1	0	0	0	2	0	0	1	0	0	0	0	3	0	0	0	0
Pezizaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrionaceae	0	8	12	14	6	21	24	9	9	5	14	7	6	12	164	75	131	62	53	41	8	56	34	27	14	17	15	6	11	10	32	16	5	14	5	10
Ophiostomataceae	0	4	3	7	6	5	3	1	1	2	5	5	3	2	77	38	69	30	27	21	1	15	5	4	2	3	8	2	2	1	5	3	3	1	2	1
Talbotiomycetaceae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Togniniaceae	0	0	0	0	1	4	1	1	0	0	3	2	0	0	54	6	31	16	8	12	0	1	1	3	0	2	1	0	0	0	1	1	4	1	0	0
Psychromonadaceae	0	0	0	1	0	0	1	0	0	1	1	0	0	0	11	4	1	1	0	1	0	4	4	0	0	3	1	0	0	0	5	0	0	0	0	1
Tulasnellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kirschsteiniotheliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylobacteriaceae	1	23	10	260	15	33	21	16	37	13	9	134	8	23	187	420	657	157	48	53	13	248	35	68	39	32	32	4	12	2	53	20	25	14	6	10
Pseudomonadaceae	152	3425	2980	605	2053	883	54413	9725	7386	1778	2387	2839	2507	1312	19978	22250	7168	13399	750	533	379	43822	60180	69260	36792	63867	26510	359	421	212	69317	29960	17690	29503	809	17602
Teratosphaeriaceae	0	1	0	2	1	4	1	2	0	0	0	1	2	4	11	2	6	7	3	0	1	1	2	2	1	1	0	0	0	0	0	1	0	2	0	1
Cohaesibacteraceae	0	0	0	0	0	0	0	2	0	0	0	0	1	1	5	11	17	2	1	1	0	7	0	0	1	0	0	0	0	0	0	2	0	0	0	0
Salisapiliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gloniaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lichtheimiaceae	0	14	8	7	4	10	8	5	11	10	7	4	6	3	36	9	30	13	10	21	11	14	13	14	5	2	8	8	5	10	4	6	4	9	3	3
Collemataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Francisellaceae	0	6	2	3	4	6	11	9	2	3	9	8	1	1	19	14	13	14	7	7	9	2	10	3	5	4	3	5	5	2	5	5	2	5	4	2
Myzocytiopsidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trapeliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Piscirickettsiaceae	0	2	2	1	2	1	1	2	1	1	1	3	1	1	22	11	14	6	4	6	1	11	2	6	2	3	1	2	6	1	2	2	2	3	0	1
